objek,deskripsi,kategori,kata_kunci,difficulty,clue_history
Kucing,Hewan mamalia berbulu lembut berkaki empat yang suka mengeong dan biasa dipelihara di rumah sebagai hewan peliharaan pemberantas tikus,Hewan,mamalia berbulu mengeong peliharaan meong hewan rumah berkaki empat tikus,easy,Hewan mamalia berbulu lembut berkaki empat yang suka mengeong dan biasa dipelihara di rumah sebagai hewan peliharaan pemberantas tikus
Gitar,Alat musik petik berdawai enam yang terbuat dari kayu dan dimainkan dengan jari atau pick untuk menghasilkan melodi,Alat Musik,musik petik dawai senar kayu instrumen melodi akustik elektrik,easy,Alat musik petik berdawai enam yang terbuat dari kayu dan dimainkan dengan jari atau pick untuk menghasilkan melodi
Dokter,Profesi di bidang kesehatan yang bertugas mendiagnosis penyakit dan mengobati pasien di rumah sakit atau klinik,Profesi,kesehatan medis rumah sakit klinik obat diagnosa pasien stetoskop jas putih,easy,Profesi di bidang kesehatan yang bertugas mendiagnosis penyakit dan mengobati pasien di rumah sakit atau klinik
Sepeda,Kendaraan roda dua tanpa mesin yang dikayuh dengan kaki menggunakan pedal untuk berpindah tempat,Kendaraan,roda dua pedal kayuh transportasi gowes ban rantai stang tidak bermesin,easy,Kendaraan roda dua tanpa mesin yang dikayuh dengan kaki menggunakan pedal untuk berpindah tempat
Mawar,Bunga berduri dengan kelopak indah berwarna merah pink atau putih yang sering diberikan sebagai simbol cinta,Tumbuhan,bunga duri kelopak merah pink putih harum romantis valentine cinta,easy,Bunga berduri dengan kelopak indah berwarna merah pink atau putih yang sering diberikan sebagai simbol cinta
Pilot,Profesi penerbang yang mengemudikan pesawat terbang dan bertanggung jawab atas keselamatan penumpang di udara,Profesi,penerbangan pesawat terbang cockpit kapten udara bandara navigasi seragam sayap,medium,Profesi penerbang yang mengemudikan pesawat terbang dan bertanggung jawab atas keselamatan penumpang di udara
Pizza,Makanan Italia berbentuk bulat pipih dengan adonan roti yang diberi saus tomat keju dan berbagai topping,Makanan,italia roti bulat pipih keju tomat pepperoni topping oven panggang,easy,Makanan Italia berbentuk bulat pipih dengan adonan roti yang diberi saus tomat keju dan berbagai topping
Harimau,Hewan karnivora besar dari keluarga kucing dengan bulu loreng oranye hitam yang hidup di hutan Asia,Hewan,karnivora buas loreng oranye hitam belang kucing besar predator raja hutan ganas,medium,Hewan karnivora besar dari keluarga kucing dengan bulu loreng oranye hitam yang hidup di hutan Asia
Kamera,Alat elektronik untuk mengambil foto dan merekam video dengan lensa optik dan sensor digital,Elektronik,foto video lensa jepretan fotografer shutter sensor digital DSLR mirrorless,easy,Alat elektronik untuk mengambil foto dan merekam video dengan lensa optik dan sensor digital
Renang,Olahraga air yang dilakukan dengan menggerakkan tangan dan kaki untuk bergerak di kolam atau laut,Olahraga,air kolam berenang gaya basah kompetisi atlet olimpiade freestyle medley,easy,Olahraga air yang dilakukan dengan menggerakkan tangan dan kaki untuk bergerak di kolam atau laut
