objek,deskripsi,kategori,kata_kunci,difficulty
Kucing,Hewan mamalia berbulu lembut berkaki empat yang suka mengeong dan biasa dipelihara di rumah sebagai hewan peliharaan pemberantas tikus,Hewan,"mamalia berbulu mengeong peliharaan meong hewan rumah berkaki empat tikus",easy
Gitar,Alat musik petik berdawai enam yang terbuat dari kayu dan dimainkan dengan jari atau pick untuk menghasilkan melodi,Alat Musik,"musik petik dawai senar kayu instrumen melodi akustik elektrik",easy
Dokter,Profesi di bidang kesehatan yang bertugas mendiagnosis penyakit dan mengobati pasien di rumah sakit atau klinik,Profesi,"kesehatan medis rumah sakit klinik obat diagnosa pasien stetoskop jas putih",easy
Sepeda,Kendaraan roda dua tanpa mesin yang dikayuh dengan kaki menggunakan pedal untuk berpindah tempat,Kendaraan,"roda dua pedal kayuh transportasi gowes ban rantai stang tidak bermesin",easy
Mawar,Bunga berduri dengan kelopak indah berwarna merah pink atau putih yang sering diberikan sebagai simbol cinta,Tumbuhan,"bunga duri kelopak merah pink putih harum romantis valentine cinta",easy
Pilot,Profesi penerbang yang mengemudikan pesawat terbang dan bertanggung jawab atas keselamatan penumpang di udara,Profesi,"penerbangan pesawat terbang cockpit kapten udara bandara navigasi seragam sayap",medium
Pizza,Makanan Italia berbentuk bulat pipih dengan adonan roti yang diberi saus tomat keju dan berbagai topping,Makanan,"italia roti bulat pipih keju tomat pepperoni topping oven panggang",easy
Harimau,Hewan karnivora besar dari keluarga kucing dengan bulu loreng oranye hitam yang hidup di hutan Asia,Hewan,"karnivora buas loreng oranye hitam belang kucing besar predator raja hutan ganas",medium
Kamera,Alat elektronik untuk mengambil foto dan merekam video dengan lensa optik dan sensor digital,Elektronik,"foto video lensa jepretan fotografer shutter sensor digital DSLR mirrorless",easy
Renang,Olahraga air yang dilakukan dengan menggerakkan tangan dan kaki untuk bergerak di kolam atau laut,Olahraga,"air kolam berenang gaya basah kompetisi atlet olimpiade freestyle medley",easy
Laptop,Komputer portabel yang bisa dibawa kemana-mana dengan layar keyboard dan baterai dalam satu perangkat,Elektronik,"komputer portabel notebook layar keyboard baterai windows mac processor RAM SSD",easy
Elang,Burung pemangsa besar dengan penglihatan tajam sayap lebar dan cakar kuat untuk menangkap mangsa,Hewan,"burung pemangsa terbang cakar tajam sayap langit predator garuda raptor paruh bengkok",medium
Koki,Profesi memasak profesional yang membuat hidangan lezat di restoran atau hotel dengan keahlian kuliner tinggi,Profesi,"masak chef dapur restoran kuliner topi putih makanan hidangan memasak resep",easy
Piano,Alat musik keyboard besar dengan tuts hitam putih yang menghasilkan suara dari senar yang dipukul palu,Alat Musik,"musik keyboard tuts hitam putih klasik grand konser melodi akord",medium
Jeruk,Buah bulat berwarna oranye dengan kulit tebal dan daging buah berair yang kaya vitamin C,Makanan,"buah oranye bulat segar asam manis vitamin C jus kupas jeruk nipis",easy
Arsitek,Profesi yang merancang dan mendesain bangunan gedung dan struktur konstruksi dengan gambar teknis,Profesi,"desain bangunan konstruksi rancang gambar blueprint arsitek gedung sketsa denah",medium
Bola,Benda bulat yang digunakan dalam berbagai olahraga seperti sepak bola basket dan voli,Olahraga,"bulat tendang lempar sepak basket voli main permainan karet kulit angin",easy
Lumba-lumba,Mamalia laut cerdas yang hidup berkelompok bisa melompat tinggi dan berkomunikasi dengan suara klik,Hewan,"mamalia laut cerdas pintar melompat dolphin ocean air asin komunikasi sonar",medium
Fotografi,Hobi mengabadikan momen dengan kamera untuk menghasilkan gambar artistik atau dokumentasi,Hobi,"foto kamera jepretan memotret seni visual lensa shutter artistik dokumentasi",medium
Kulkas,Peralatan rumah tangga elektronik untuk menyimpan makanan dan minuman agar tetap dingin dan segar,Elektronik,"dingin beku es freezer simpan makanan minuman refrigerator lemari es",easy
Petani,Profesi yang bekerja di sawah atau ladang menanam padi sayuran dan merawat tanaman untuk panen,Profesi,"sawah ladang padi tanaman merawat panen cangkul traktor topi caping kebun",easy
Gajah,Mamalia darat terbesar dengan belalai panjang telinga lebar dan gading yang hidup di Afrika dan Asia,Hewan,"besar raksasa belalai gading telinga lebar afrika asia abu-abu jumbo mamalia",easy
Catur,Permainan strategi papan dengan 16 bidak per pemain termasuk raja ratu benteng kuda dan pion,Permainan,"strategi papan kotak hitam putih raja ratu benteng kuda pion skak mat bidak",medium
Televisi,Perangkat elektronik dengan layar untuk menonton siaran berita film dan hiburan di rumah,Elektronik,"layar nonton siaran TV channel film berita remote LED LCD plasma",easy
Kelinci,Hewan mamalia kecil berbulu lembut dengan telinga panjang yang suka melompat dan makan wortel,Hewan,"mamalia telinga panjang melompat lompat wortel kelincahan lucu imut putih",easy
Guru,Profesi mulia yang mengajar dan mendidik siswa di sekolah untuk mentransfer ilmu pengetahuan,Profesi,"mengajar sekolah murid kelas pendidik buku papan tulis pengetahuan pelajaran",easy
Pisang,Buah kuning panjang melengkung dengan kulit mudah dikupas dan daging manis kaya kalium,Makanan,"buah kuning melengkung kupas manis kalium energi monyet goreng panggang",easy
Melukis,Hobi seni visual menggunakan kuas cat dan kanvas untuk menciptakan gambar dan ekspresi kreatif,Hobi,"seni kuas cat kanvas gambar warna visual artistik pelukis ekspresi",easy
Payung,Benda pelindung dari hujan dan panas matahari dengan kain bentang di atas tongkat dan gagang,Alat,"hujan panas matahari lindung basah teduh buka lipat portable gagang",easy
Panda,Beruang hitam putih dari China yang makan bambu dan menjadi simbol konservasi satwa langka,Hewan,"beruang hitam putih china bambu lucu imut langka konservasi menggemaskan",easy
Programmer,Profesi yang menulis kode komputer dan mengembangkan software aplikasi dan sistem digital,Profesi,"kode coding software developer aplikasi komputer bug debug laptop ngoding",medium
Apel,Buah bulat berwarna merah hijau atau kuning dengan daging renyah dan biji di tengahnya,Makanan,"buah merah hijau kuning renyah segar sehat biji malang vitamin fiber",easy
Mendaki,Hobi petualangan outdoor naik gunung melewati jalur trekking untuk menikmati alam dan pemandangan,Hobi,"gunung naik petualangan outdoor tracking camping alam puncak carrier hiking",medium
Jam Tangan,Aksesori di pergelangan tangan untuk menunjukkan waktu dengan jarum atau display digital,Alat,"waktu tangan pergelangan jarum digital watch aksesori jam arloji smartwatch",easy
Singa,Raja hutan dari Afrika dengan surai lebat pada jantan yang hidup berkelompok dan berburu bersama,Hewan,"raja hutan surai afrika buas karnivora mengaum predator kucing besar pride",medium
Nelayan,Profesi yang menangkap ikan di laut sungai atau danau menggunakan jaring pancing atau perahu,Profesi,"ikan laut jaring pancing perahu tangkap air sungai danau jala kapal",easy
Nasi Goreng,Makanan Indonesia berupa nasi yang digoreng dengan bumbu kecap telur dan sayuran,Makanan,"indonesia nasi goreng kecap telur bumbu pedas wajan masak soto bakso",easy
